Bankrupt,Net_Value_Per_Share_(B),Net_Value_Per_Share_(A),Net_Value_Per_Share_(C),Operating_Profit_Growth_Rate,Total_Asset_Return_Growth_Rate_Ratio,Total_debt/Total_net_worth,Operating_profit/Paid-in_capital,Net_profit_before_tax/Paid-in_capital,Average_Collection_Days,Revenue_per_person,Total_income/Total_expense
0,0.200707935,0.18979394,0.189625385,0.848057039,0.264068194,0.006892275,0.123226994,0.184352613,0.008954943,0.015525168,0.002307044
0,0.195693397,0.185495765,0.185411487,0.848037981,0.26405887,0.01100776,0.101226245,0.176970063,0.007640778,0.016535699,0.002307051
0,0.228098268,0.213138932,0.212843959,0.848160903,0.264090729,0.004948978,0.107113196,0.176902194,0.006525572,0.013104593,0.002307374
0,0.179849142,0.166701782,0.162066495,0.847921389,0.263450436,0.011572238,0.106803785,0.182738858,0.00784657,0.050858511,0.002307434
0,0.187012768,0.176941553,0.176520163,0.847992031,0.264118703,0.022207936,0.109140652,0.186366036,0.01148593,0.026364878,0.002307808
0,0.202688467,0.19143736,0.191226666,0.848062509,0.263443442,0.002895339,0.104450633,0.181947063,0.005190059,0.01527841,0.002307983
0,0.189878218,0.180059837,0.179680587,0.848013065,0.264434187,0.005543549,0.103302555,0.173538949,0.005052579,0.02172936,0.002308747
0,0.194007838,0.184147318,0.183936623,0.848031487,0.263985049,0.003863796,0.103050141,0.175318603,0.00517725,0.01770486,0.00230954
0,0.188951161,0.178922085,0.17871139,0.848006618,0.264483142,0.003797226,0.112071914,0.185943745,0.005362548,0.02296021,0.00231003
0,0.223673676,0.207997977,0.207829421,0.848142174,0.263862275,0.004727382,0.10770759,0.17528844,0.013995568,0.01350998,0.002310197
0,0.230584468,0.216172938,0.215877966,0.848175384,0.2639664,0.013670561,0.100232872,0.175597617,0.007775695,0.012678642,0.002310273
0,0.220428975,0.205553917,0.205343222,0.848133575,0.264443512,0.009800381,0.111746218,0.183877536,0.009220509,0.013689174,0.002310866
0,0.208461506,0.196325481,0.196156926,0.848083425,0.264065863,0.00372792,0.11525559,0.181585099,0.008001127,0.014561638,0.002310934
0,0.188108381,0.178079306,0.177742194,0.848001489,0.263823422,0.009048049,0.099540769,0.173561572,0.007791919,0.025004774,0.002311008
0,0.189035439,0.179006363,0.178753529,0.848006924,0.263883255,0.006082492,0.097472601,0.176464822,0.010618358,0.022939647,0.002311382
