Bankrupt,Net_Value_Per_Share_(B),Net_Value_Per_Share_(A),Net_Value_Per_Share_(C),Operating_Profit_Growth_Rate,Total_Asset_Return_Growth_Rate_Ratio,Total_debt/Total_net_worth,Operating_profit/Paid-in_capital,Net_profit_before_tax/Paid-in_capital,Average_Collection_Days,Revenue_per_person,Total_income/Total_expense
0,0.165100501,0.165100501,0.165100501,0.847170367,0.261053221,0.026006073,0.092041624,0.156737803,0.016365166,8810000000,0.001957535
1,0.144073153,0.144073153,0.144073153,0.847780033,0.263793117,0.044450524,0.093938802,0.16152628,0.545300298,7050000000,0.001738837
0,0.334962707,0.334962707,0.334962707,0.848088096,0.264009138,0.013171741,0.12505089,0.234846542,0.003394288,1,0.002539853
0,0.248872782,0.248872782,0.248872782,0.848272625,0.26454686,0.01148287,0.12753432,0.220209637,0.003853691,0.991116725,0.003081739
0,0.259491804,0.259491804,0.259491804,0.848044992,0.264159887,0.007450369,0.121191395,0.218331951,0.004074,0.840788449,0.003329029
0,0.206565252,0.206565252,0.206565252,0.847987396,0.263751933,0.004607921,0.104694904,0.167114094,0.001985338,0.695880029,0.00221417
0,0.186970629,0.186970629,0.186970629,0.848558971,0.264001368,0.018766358,0.120108457,0.174632381,0.000584074,0.64597036,0.002288737
0,0.262230837,0.262230837,0.262230837,0.848078779,0.264149008,0.010039304,0.125979123,0.211484805,0.005723752,0.634792826,0.003156228
0,0.23172222,0.23172222,0.23172222,0.848091413,0.264241478,0.015723288,0.124399498,0.216801146,0.004347251,0.612934213,0.002557675
0,0.339935106,0.339935106,0.339935106,0.84807999,0.26445206,0.006805643,0.141368248,0.272060931,0.004728094,0.56712542,0.002957529
0,0.21200118,0.21200118,0.21200118,0.848046228,0.264318406,0.004828605,0.130856417,0.206130759,0.000247634,0.539582568,0.003424619
0,0.244616746,0.244616746,0.244616746,0.848060262,0.264186307,0.019570669,0.184278665,0.256865998,0.000464526,0.526287032,0.003116035
0,0.256415659,0.256415659,0.256415659,0.848023053,0.26393998,0.004106366,0.115214878,0.210934319,0.006340274,0.518246846,0.003349751
0,0.189288273,0.189288273,0.189288273,0.85005918,0.264340941,0.008147074,0.107113196,0.184714577,0.000966625,0.509627954,0.002362142
0,0.211706207,0.211706207,0.211706207,0.848102789,0.264243032,0.009122826,0.125417298,0.201214086,0.004622209,0.489358577,0.002769663
0,0.171505626,0.171505626,0.171505626,0.847950105,0.263931433,0.074168103,0.098987086,0.173192067,0.002246635,0.485557334,0.002273976
0,0.19678901,0.19678901,0.19678901,0.847971915,0.26377369,0.015436945,0.10733304,0.18383229,0.006471776,0.473989102,0.002271595
0,0.23871729,0.23871729,0.23871729,0.848059721,0.264063532,0.017981196,0.156456104,0.222381419,0.002218456,0.472379302,0.003299658
0,0.191605916,0.191605916,0.191605916,0.848017665,0.264209618,0.013739866,0.115898839,0.185129327,0.000800967,0.466686251,0.00260626
0,0.234376975,0.234376975,0.234376975,0.848121223,0.264634668,0.024115668,0.181485824,0.252243421,0.000264712,0.463889664,0.003603708
